Day,Hour,Wind
1,0,1.8312
1,1,1.0176
1,2,0.3684
1,3,1.182
1,4,3.5892
1,5,1.8834
1,6,2.9718
1,7,5.6472
1,8,7.5234
1,9,6.4338
1,10,7.3644
1,11,6.2352
1,12,11.0946
1,13,20.5038
1,14,26.796
1,15,27.6054
1,16,27.9648
1,17,28.6674
1,18,28.029
1,19,28.3446
1,20,27.6792
1,21,24.5148
1,22,18.3888
1,23,19.998
2,0,24.6966
2,1,22.4388
2,2,15.3174
2,3,11.6964
2,4,12.7122
2,5,12.6624
2,6,14.2014
2,7,20.0592
2,8,26.5248
2,9,27.2886
2,10,27.9726
2,11,27.8694
2,12,27.354
2,13,26.472
2,14,25.8078
2,15,23.0784
2,16,21.1404
2,17,23.106
2,18,23.6484
2,19,22.0152
2,20,20.1672
2,21,14.283
2,22,9.9012
2,23,10.1418
3,0,8.766
3,1,9.7782
3,2,9.9144
3,3,12.198
3,4,11.5038
3,5,9.2244
3,6,13.1484
3,7,13.8306
3,8,14.1246
3,9,13.2396
3,10,13.6464
3,11,13.9542
3,12,15.5466
3,13,16.2558
3,14,14.0742
3,15,16.3854
3,16,20.115
3,17,20.1594
3,18,19.806
3,19,20.3058
3,20,22.6404
3,21,22.2378
3,22,16.1334
3,23,16.083
4,0,14.8134
4,1,13.821
4,2,10.8114
4,3,10.2666
4,4,7.9788
4,5,8.9172
4,6,6.9972
4,7,7.4592
4,8,7.3854
4,9,8.3514
4,10,9.4872
4,11,13.2474
4,12,16.2066
4,13,19.335
4,14,18.5274
4,15,19.5798
4,16,19.1304
4,17,16.221
4,18,18.1992
4,19,17.319
4,20,11.0076
4,21,9.7464
4,22,7.8258
4,23,7.704
5,0,9.9684
5,1,7.3722
5,2,2.9814
5,3,4.323
5,4,4.9002
5,5,4.6704
5,6,12.0078
5,7,12.7392
5,8,16.1268
5,9,19.4568
5,10,16.4304
5,11,15.0906
5,12,15.4314
5,13,16.3422
5,14,13.0452
5,15,16.7184
5,16,20.8602
5,17,23.7558
5,18,27.4062
5,19,24.8922
5,20,24.6132
5,21,17.7948
5,22,13.5162
5,23,18.3294
6,0,23.295
6,1,24.7938
6,2,18.0792
6,3,16.2948
6,4,15.969
6,5,13.143
6,6,13.356
6,7,21.6072
6,8,25.506
6,9,26.8272
6,10,25.758
6,11,27.3324
6,12,27.4182
6,13,27.8124
6,14,27.7836
6,15,28.707
6,16,29.1456
6,17,29.2398
6,18,29.304
6,19,29.2602
6,20,29.1582
6,21,28.9686
6,22,28.2708
6,23,25.8312
7,0,24.5538
7,1,25.983
7,2,22.677
7,3,22.2936
7,4,21.5634
7,5,23.292
7,6,23.3364
7,7,21.3456
7,8,16.5
7,9,8.2962
7,10,3.6576
7,11,4.2246
7,12,11.592
7,13,16.1178
7,14,21.717
7,15,23.6826
7,16,25.932
7,17,16.6908
7,18,3.2454
7,19,4.2774
7,20,8.754
7,21,12.3396
7,22,12.1668
7,23,8.079
8,0,6.9726
8,1,5.9676
8,2,5.7204
8,3,4.3902
8,4,3.5022
8,5,3.3144
8,6,1.215
8,7,1.4364
8,8,0.9276
8,9,0.3702
8,10,0.0936
8,11,0
8,12,1.1862
8,13,4.3332
8,14,1.6506
8,15,15.183
8,16,10.1424
8,17,3.627
8,18,0.5376
8,19,0.1416
8,20,0.597
8,21,0.6018
8,22,1.4688
8,23,1.8726
9,0,1.6032
9,1,3.9714
9,2,1.962
9,3,2.8302
9,4,0.8664
9,5,0
9,6,0
9,7,0
9,8,0
9,9,0
9,10,0
9,11,0
9,12,0.0228
9,13,0.0174
9,14,0
9,15,4.6704
9,16,14.3712
9,17,5.1258
9,18,7.0074
9,19,1.359
9,20,0.471
9,21,1.9434
9,22,7.1874
9,23,5.1972
10,0,8.0004
10,1,4.6818
10,2,5.478
10,3,3.2418
10,4,2.8632
10,5,4.488
10,6,5.889
10,7,5.4264
10,8,4.3992
10,9,2.9706
10,10,1.5114
10,11,0.6198
10,12,4.2474
10,13,7.2264
10,14,14.0208
10,15,28.2522
10,16,9.5178
10,17,10.0824
10,18,9.7698
10,19,7.7658
10,20,6.678
10,21,7.0824
10,22,10.101
10,23,10.3278
11,0,14.7276
11,1,18.462
11,2,16.3152
11,3,12.3816
11,4,13.1322
11,5,13.3386
11,6,16.1754
11,7,18.9306
11,8,24.252
11,9,25.3134
11,10,26.6556
11,11,28.0644
11,12,29.0082
11,13,29.178
11,14,29.2236
11,15,29.2806
11,16,29.1636
11,17,29.307
11,18,29.1888
11,19,29.1762
11,20,28.9056
11,21,28.7148
11,22,27.3138
11,23,27.7128
12,0,28.575
12,1,29.2134
12,2,29.163
12,3,29.0334
12,4,28.722
12,5,28.8636
12,6,29.2752
12,7,29.337
12,8,28.9608
12,9,27.054
12,10,26.2842
12,11,9.3318
12,12,3.012
12,13,3.0144
12,14,3.012
12,15,3.0144
12,16,3.0138
12,17,3.0126
12,18,3.0138
12,19,3.0126
12,20,21.5994
12,21,29.1576
12,22,28.7112
12,23,29.2404
13,0,28.6662
13,1,29.0994
13,2,29.3028
13,3,29.3058
13,4,29.232
13,5,23.0574
13,6,22.326
13,7,24.0318
13,8,26.9334
13,9,28.5486
13,10,26.325
13,11,24.6948
13,12,27.078
13,13,28.653
13,14,27.7734
13,15,28.9386
13,16,28.7424
13,17,29.1102
13,18,29.1822
13,19,28.7736
13,20,27.3498
13,21,23.523
13,22,16.9122
13,23,15.0174
14,0,12.4416
14,1,12.141
14,2,10.1394
14,3,7.5642
14,4,8.538
14,5,7.5684
14,6,11.1066
14,7,15.6126
14,8,20.2218
14,9,18.9408
14,10,21.096
14,11,17.3274
14,12,16.2048
14,13,17.6832
14,14,21.8592
14,15,23.952
14,16,27.0156
14,17,27.4008
14,18,26.7198
14,19,21.4716
14,20,14.8164
14,21,18.6456
14,22,14.634
14,23,10.4964
15,0,11.0784
15,1,10.4346
15,2,2.0646
15,3,3.954
15,4,3.6696
15,5,4.131
15,6,0.5826
15,7,1.4478
15,8,1.83
15,9,1.986
15,10,0.3852
15,11,0.5226
15,12,2.0376
15,13,3.849
15,14,8.6886
15,15,13.0194
15,16,7.9062
15,17,7.6992
15,18,7.7526
15,19,8.0844
15,20,8.331
15,21,16.2732
15,22,14.9472
15,23,16.1268
16,0,13.3248
16,1,11.2266
16,2,11.1024
16,3,7.1862
16,4,3.1596
16,5,1.1568
16,6,0.3522
16,7,0.5658
16,8,0.1338
16,9,0
16,10,3.378
16,11,4.62
16,12,3.9432
16,13,6.0024
16,14,8.3136
16,15,10.0902
16,16,16.677
16,17,17.901
16,18,6.006
16,19,5.2662
16,20,9.504
16,21,7.2042
16,22,12.5508
16,23,12.3636
17,0,12.1872
17,1,8.0874
17,2,5.6904
17,3,4.7652
17,4,4.8048
17,5,2.7924
17,6,0.3276
17,7,0
17,8,0.0006
17,9,3.2394
17,10,1.9824
17,11,2.1672
17,12,3.435
17,13,8.43
17,14,4.8048
17,15,3.6966
17,16,4.614
17,17,3.0426
17,18,1.1604
17,19,1.4526
17,20,4.458
17,21,10.0098
17,22,5.8482
17,23,4.0938
18,0,4.8192
18,1,4.6416
18,2,4.7616
18,3,1.6494
18,4,0.4638
18,5,0.1638
18,6,0.6342
18,7,2.3526
18,8,4.626
18,9,2.9964
18,10,2.838
18,11,4.5672
18,12,6.8904
18,13,6.9534
18,14,13.5858
18,15,15.558
18,16,27.5184
18,17,28.7544
18,18,25.6926
18,19,18.0324
18,20,17.8104
18,21,5.499
18,22,8.697
18,23,14.2968
19,0,7.4904
19,1,5.9424
19,2,3.1416
19,3,10.209
19,4,5.3364
19,5,19.3602
19,6,11.2434
19,7,7.3704
19,8,3.0864
19,9,6.243
19,10,1.485
19,11,0.0018
19,12,0.591
19,13,6.5202
19,14,5.358
19,15,3.9582
19,16,14.949
19,17,11.5026
19,18,4.2666
19,19,8.8668
19,20,7.9374
19,21,4.0734
19,22,2.067
19,23,2.7918
20,0,4.2624
20,1,0.2748
20,2,0.5376
20,3,0.0366
20,4,0
20,5,0
20,6,0
20,7,0
20,8,0
20,9,1.8342
20,10,3.0774
20,11,5.6706
20,12,11.6694
20,13,17.6004
20,14,13.8594
20,15,7.929
20,16,5.2794
20,17,3.0252
20,18,4.1634
20,19,5.4498
20,20,0.3954
20,21,0
20,22,0
20,23,0
21,0,0
21,1,0
21,2,0
21,3,0
21,4,0.0672
21,5,0.4812
21,6,1.1442
21,7,0.2532
21,8,0.0708
21,9,0.0342
21,10,0.0048
21,11,0.1326
21,12,0.7998
21,13,1.659
21,14,3.4554
21,15,3.9948
21,16,3.0234
21,17,2.754
21,18,1.3272
21,19,0.0942
21,20,1.0542
21,21,1.7034
21,22,0.4596
21,23,0.8622
22,0,0.3036
22,1,1.7784
22,2,3.3168
22,3,5.7156
22,4,7.3614
22,5,4.9512
22,6,4.0446
22,7,1.0446
22,8,0.0672
22,9,0.3144
22,10,0.0336
22,11,0.0036
22,12,0.4284
22,13,1.5342
22,14,13.5408
22,15,18.6936
22,16,25.4766
22,17,23.0238
22,18,23.583
22,19,18.8118
22,20,17.1018
22,21,19.473
22,22,14.7456
22,23,12.8814
23,0,10.8966
23,1,13.4418
23,2,14.4144
23,3,15.2472
23,4,17.5932
23,5,20.5824
23,6,21.2064
23,7,19.4016
23,8,19.9908
23,9,26.0346
23,10,27.3306
23,11,27.1962
23,12,26.0616
23,13,23.9268
23,14,25.11
23,15,28.3284
23,16,29.1792
23,17,29.211
23,18,29.2512
23,19,28.791
23,20,27.6054
23,21,26.7762
23,22,26.4702
23,23,25.6956
24,0,27.4938
24,1,24.72
24,2,22.959
24,3,23.7156
24,4,22.4844
24,5,17.7636
24,6,18.2754
24,7,21.5772
24,8,26.2656
24,9,27.2088
24,10,27.0066
24,11,27.2352
24,12,27.6546
24,13,27.441
24,14,27.888
24,15,27.495
24,16,27.4224
24,17,25.3386
24,18,21.78
24,19,23.0736
24,20,17.2074
24,21,16.011
24,22,13.3416
24,23,10.4184
25,0,10.0542
25,1,11.3232
25,2,7.4826
25,3,6.3954
25,4,9.6726
25,5,11.0808
25,6,8.3754
25,7,11.1846
25,8,16.452
25,9,12.9036
25,10,16.986
25,11,16.6338
25,12,15.7056
25,13,18.138
25,14,19.7838
25,15,16.923
25,16,15.5598
25,17,18.9876
25,18,16.254
25,19,19.689
25,20,21.4014
25,21,25.4298
25,22,18.273
25,23,14.0052
26,0,10.5192
26,1,6.867
26,2,6.936
26,3,7.6944
26,4,11.1024
26,5,12.6174
26,6,11.2182
26,7,15.324
26,8,17.5782
26,9,21.189
26,10,19.8372
26,11,21.4554
26,12,24.0084
26,13,26.7924
26,14,27.5898
26,15,28.0776
26,16,27.3984
26,17,27.3996
26,18,27.6102
26,19,26.4966
26,20,25.521
26,21,20.1774
26,22,20.133
26,23,18.3708
27,0,16.9476
27,1,18.783
27,2,17.4174
27,3,15.0066
27,4,16.2024
27,5,15.5952
27,6,12.9708
27,7,13.2732
27,8,21.0432
27,9,22.935
27,10,23.4144
27,11,23.2908
27,12,23.0916
27,13,26.5032
27,14,25.1802
27,15,25.9794
27,16,26.721
27,17,26.3028
27,18,23.8104
27,19,20.694
27,20,19.8654
27,21,19.0794
27,22,13.4586
27,23,10.4208
28,0,7.9524
28,1,6.3606
28,2,4.6134
28,3,7.2666
28,4,5.838
28,5,3.2604
28,6,4.6614
28,7,4.3206
28,8,3.4518
28,9,3.1794
28,10,5.4378
28,11,7.6656
28,12,1.5948
28,13,3.7032
28,14,4.0668
28,15,4.4406
28,16,5.4738
28,17,4.2918
28,18,3.2652
28,19,2.859
28,20,5.349
28,21,7.5666
28,22,5.6004
28,23,3.7614
29,0,2.637
29,1,1.1442
29,2,1.1958
29,3,1.3008
29,4,0.0372
29,5,0.2796
29,6,1.2294
29,7,0.69
29,8,1.167
29,9,3.4116
29,10,3.1962
29,11,2.5578
29,12,0.2052
29,13,2.4192
29,14,5.367
29,15,6.5412
29,16,5.2242
29,17,5.3172
29,18,4.3308
29,19,4.7286
29,20,6.345
29,21,6.5226
29,22,7.0182
29,23,5.1492
30,0,2.6028
30,1,1.7694
30,2,0.5094
30,3,1.1724
30,4,2.6292
30,5,1.4334
30,6,0.5358
30,7,0.003
30,8,0.0894
30,9,1.3848
30,10,2.3586
30,11,0.3396
30,12,0.2274
30,13,1.8804
30,14,2.4954
30,15,2.655
30,16,2.1864
30,17,6.246
30,18,11.9508
30,19,3.1494
30,20,2.0226
30,21,0.3432
30,22,0.3666
30,23,1.656
31,0,5.64
31,1,5.2368
31,2,3.2736
31,3,0.504
31,4,1.455
31,5,1.6746
31,6,0.8694
31,7,1.719
31,8,2.3046
31,9,5.1348
31,10,6.939
31,11,11.2314
31,12,9.0564
31,13,12.9552
31,14,16.7232
31,15,22.3302
31,16,20.4678
31,17,22.4202
31,18,18.4086
31,19,13.6632
31,20,12.099
31,21,11.742
31,22,12.9972
31,23,16.0668
1,0,15.5586
1,1,18.621
1,2,20.1486
1,3,19.5816
1,4,22.188
1,5,24.138
1,6,5.7072
1,7,3.0138
1,8,3.015
1,9,3.0132
1,10,17.6016
1,11,28.1052
1,12,28.4742
1,13,28.719
1,14,29.0592
1,15,29.319
1,16,29.2464
1,17,28.6386
1,18,27.573
1,19,27.9072
1,20,22.5504
1,21,23.5746
1,22,23.898
1,23,25.3518
2,0,21.3234
2,1,26.4186
2,2,24.7308
2,3,26.8002
2,4,26.1408
2,5,25.0134
2,6,26.2344
2,7,22.2342
2,8,24.1854
2,9,23.37
2,10,17.2386
2,11,8.9382
2,12,11.583
2,13,11.79
2,14,18.8634
2,15,21.5712
2,16,18.3324
2,17,11.5434
2,18,14.6004
2,19,17.4924
2,20,12.2766
2,21,16.824
2,22,19.2408
2,23,11.6976
3,0,16.6926
3,1,20.7438
3,2,14.4618
3,3,16.047
3,4,16.2456
3,5,13.5792
3,6,15.4548
3,7,16.6206
3,8,19.9668
3,9,23.547
3,10,20.1834
3,11,15.993
3,12,7.4904
3,13,13.0668
3,14,21.1098
3,15,17.577
3,16,18.7344
3,17,18.9528
3,18,16.4952
3,19,10.9476
3,20,10.0098
3,21,8.0442
3,22,4.9986
3,23,4.5072
4,0,5.1174
4,1,8.7114
4,2,19.155
4,3,18.054
4,4,18.5724
4,5,12.3318
4,6,15.795
4,7,13.6908
4,8,12.5442
4,9,3.0144
4,10,3.0126
4,11,3.0138
4,12,3.0138
4,13,3.0126
4,14,3.0138
4,15,3.0132
4,16,18.3342
4,17,19.068
4,18,9.8478
4,19,7.6158
4,20,1.9746
4,21,1.8816
4,22,1.5198
4,23,1.5306
5,0,3.2124
5,1,4.3206
5,2,1.8552
5,3,1.3266
5,4,1.4664
5,5,0.1446
5,6,0.6438
5,7,0.2448
5,8,0.6024
5,9,0.0096
5,10,0.6942
5,11,0.0786
5,12,1.8672
5,13,1.8756
5,14,2.325
5,15,3.2604
5,16,5.0196
5,17,5.5968
5,18,4.6104
5,19,5.9976
5,20,5.3286
5,21,6.4584
5,22,4.782
5,23,2.1024
6,0,2.3484
6,1,6.2922
6,2,3.867
6,3,1.1178
6,4,0.03
6,5,0.5982
6,6,0.6786
6,7,0.1572
6,8,4.1688
6,9,7.8804
6,10,9.5352
6,11,13.7202
6,12,7.6194
6,13,9.4878
6,14,16.4736
6,15,12.234
6,16,15.9048
6,17,18.1446
6,18,12.993
6,19,11.0718
6,20,14.1516
6,21,13.6614
6,22,21.4116
6,23,19.6476
7,0,21.9792
7,1,25.698
7,2,21.5118
7,3,23.5476
7,4,23.4924
7,5,26.1324
7,6,26.604
7,7,28.3578
7,8,26.7366
7,9,28.2012
7,10,29.319
7,11,29.181
7,12,29.022
7,13,29.2476
7,14,28.9764
7,15,29.187
7,16,29.0796
7,17,28.8414
7,18,28.02
7,19,24.2856
7,20,23.5584
7,21,19.9632
7,22,18.4416
7,23,17.8644
8,0,19.1448
8,1,21.8076
