Day,Hour,Marginal Price (Pkr/Kwh)
1,0,22.854351
1,1,22.854351
1,2,22.854351
1,3,22.854351
1,4,14.577804
1,5,14.580793
1,6,5.5663
1,7,5.5957
1,8,14.924099
1,9,14.614957
1,10,14.620922
1,11,14.622518
1,12,14.629172
1,13,14.637882
1,14,14.628942
1,15,14.627333
1,16,14.637192
1,17,14.628022
1,18,14.623207
1,19,22.854351
1,20,14.624587
1,21,14.618622
1,22,33.22396
1,23,33.82648
2,0,33.82648
2,1,33.82648
2,2,33.22396
2,3,22.854351
2,4,22.854351
2,5,14.597753
2,6,14.590883
2,7,14.583079
2,8,14.616107
2,9,22.854351
2,10,14.637422
2,11,14.649811
2,12,14.665865
2,13,14.678241
2,14,14.676861
2,15,9.804893
2,16,9.807646
2,17,9.804121
2,18,9.791309
2,19,14.669301
2,20,14.666542
2,21,14.656465
2,22,14.667001
2,23,14.657831
3,0,32.849755
3,1,33.82648
3,2,32.84751
3,3,14.613348
3,4,14.618393
3,5,14.617933
3,6,14.609912
3,7,14.614267
3,8,14.619312
3,9,14.589043
3,10,14.600053
3,11,14.608073
3,12,14.614727
3,13,14.614727
3,14,14.630322
3,15,14.634447
3,16,14.642237
3,17,31.818637
3,18,34.424059
3,19,34.399186
3,20,34.357973
3,21,34.311513
3,22,34.304466
3,23,33.82648
4,0,34.08564
4,1,33.22396
4,2,14.585838
4,3,14.583079
4,4,14.0379
4,5,14.0379
4,6,14.0379
4,7,5.5957
4,8,14.658291
4,9,14.578494
4,10,14.595008
4,11,14.610832
4,12,14.618163
4,13,14.621368
4,14,14.627792
4,15,14.622748
4,16,14.618622
4,17,14.616323
4,18,5.5967
4,19,5.5957
4,20,14.620462
4,21,14.609912
4,22,14.564969
4,23,14.590193
5,0,14.556015
5,1,14.586744
5,2,14.54157
5,3,14.656682
5,4,14.890746
5,5,5.637
5,6,5.5309
5,7,3.1088
5,8,3.1088
5,9,3.1088
5,10,5.5309
5,11,14.0379
5,12,14.0379
5,13,22.88813
5,14,22.88813
5,15,22.88813
5,16,22.88813
5,17,22.88813
5,18,9.781282
5,19,9.971819
5,20,9.75684
5,21,14.0379
5,22,10.024848
5,23,14.0379
6,0,5.5663
6,1,5.5309
6,2,3.1088
6,3,3.1088
6,4,3.1088
6,5,3.1088
6,6,3.1088
6,7,3.1088
6,8,5.5309
6,9,3.1088
6,10,5.5309
6,11,14.433233
6,12,11.9709
6,13,22.88813
6,14,22.88813
6,15,22.854351
6,16,22.854351
6,17,22.854351
6,18,22.854351
6,19,14.625277
6,20,14.620002
6,21,14.614267
6,22,9.785267
6,23,11.9709
7,0,22.854351
7,1,10.026191
7,2,5.5309
7,3,5.5309
7,4,3.1088
7,5,3.1088
7,6,3.1088
7,7,3.1088
7,8,3.1088
7,9,5.5309
7,10,5.5309
7,11,5.5309
7,12,5.5309
7,13,5.5309
7,14,5.5309
7,15,3.1088
7,16,3.1088
7,17,10.709232
7,18,9.806135
7,19,9.751251
7,20,14.006578
7,21,22.854351
7,22,22.854351
7,23,22.854351
8,0,22.854351
8,1,22.854351
8,2,22.854351
8,3,22.854351
8,4,22.854351
8,5,15.020356
8,6,10.995808
8,7,11.9709
8,8,11.9709
8,9,14.012374
8,10,11.041731
8,11,5.637
8,12,13.698264
8,13,13.740053
8,14,13.623221
8,15,22.88813
8,16,22.88813
8,17,22.88813
8,18,22.88813
8,19,22.88813
8,20,28.277946
8,21,28.280493
8,22,28.0986
8,23,28.0986
9,0,28.0986
