Jul,Aug,Sept,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun
6.25,6.74,7.28,4.03,7.14,8.84,5.71,4.24,9.4,5.95,9.64,9.26
9.7,8.71,5.11,8.89,6.57,9.38,4.22,7.55,7.8,8.48,9.72,8.44
8.39,5.2,9.82,8.24,4.15,5.91,7.66,8.07,6.03,7.9,9.49,8.18
7.59,7.09,8.65,8.37,4.65,4.66,7.02,4.1,6.1,9.1,6.22,8.21
4.94,7.55,9.64,8.63,4.19,5.37,4.31,7.07,8.36,7.95,4.09,6.16
4.94,4.28,9.37,4.44,7.82,6.56,5.67,5.36,9.38,7.41,9.57,5.76
4.35,7.65,7.59,6.15,5.89,8.91,9.45,7.87,9.32,4.56,6.57,8.86
9.2,5.02,9.53,4.7,7.05,9.16,5.44,5.05,8.68,6.21,9.8,8.86
7.61,4.39,4.53,9.18,9.45,4.04,4.87,8.15,7.85,5.59,9.78,9.2
8.25,9.69,5.18,7.74,5.5,7.06,6.94,6.32,4.5,5.46,9.12,9.48
4.12,9.79,4.27,5.99,6.46,6.5,9.91,9.62,4.97,9.84,5.77,7.07
9.82,8.85,5.95,4.38,8.53,5.33,5.45,4.83,9.39,6.36,6.31,7.01
8.99,5.83,6.33,5.87,5.37,4.72,8.03,6.05,7.64,9.35,9.11,8.79
5.27,4.59,5.63,5.95,4.46,6.03,8.57,4.68,4.06,7.79,5.9,7.9
5.09,8.11,8.97,8.38,5.74,9.66,5.43,9.55,4.61,8.77,5.02,8.21
5.1,6.64,6.14,7.83,4.97,5.94,8.37,9.26,7.98,7.02,7.34,8.77
5.83,4.73,5.69,9.32,9.58,7.11,6.21,5.55,4.03,7.46,9.62,9.34
7.15,6.97,7.26,6.83,8.85,8.22,7.79,7.96,4.96,6.96,8.18,6.03
6.59,4.21,4.85,4.72,7.8,6.18,7.8,8.9,7.29,5.17,7.42,6.25
5.75,9.46,8.81,8.28,9.23,9.83,7.21,7.33,8.15,8.33,4.58,4.56
7.67,5.55,4.45,8.56,8.82,9.77,4.54,7.18,7.91,5.68,7.69,7.47
4.84,7.98,9.92,7.37,5.12,5.51,9.01,5.45,5.35,4.15,9.94,4.22
5.75,5.87,8.63,8.63,9.36,6.98,5.92,4.56,8.27,7.87,4.84,6.79
6.2,7.12,5.19,6.96,7.24,5.81,5.12,9.38,5.42,5.06,7.11,7.26
